epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.553907,0.74488,3.94052,0.92976,0.35228,0.30492,0.2671,0.25513,0.44698,3.13219,0.84003,0,0,0
2,0.892447,0.96322,4.00275,0.96663,0.33114,0.30955,0.26645,0.25472,0.44662,3.13008,0.83861,1.41485e-05,1.41485e-05,1.41485e-05
3,1.27085,0.75729,3.79217,0.86921,0.33641,0.31538,0.29766,0.28586,0.45031,3.11091,0.83571,2.80141e-05,2.80141e-05,2.80141e-05
4,1.66946,0.76484,3.92831,0.87033,0.33485,0.29762,0.29783,0.28626,0.45877,3.09767,0.83433,4.15968e-05,4.15968e-05,4.15968e-05
5,2.02578,0.81238,4.29334,0.93352,0.42277,0.332,0.32662,0.31587,0.45528,3.08576,0.83184,5.48965e-05,5.48965e-05,5.48965e-05
6,2.36408,0.72433,3.46363,0.87411,0.50485,0.3397,0.33321,0.32286,0.455,3.09454,0.83424,6.79132e-05,6.79132e-05,6.79132e-05
7,2.70102,0.78888,4.35163,0.89768,0.50984,0.33413,0.33372,0.3233,0.45646,3.09204,0.83721,8.0647e-05,8.0647e-05,8.0647e-05
8,3.05922,0.62356,3.78669,0.87287,0.37087,0.6369,0.48292,0.45662,0.46506,2.48422,0.82566,9.30979e-05,9.30979e-05,9.30979e-05
9,3.51487,0.46162,2.80608,0.83584,0.47413,0.52776,0.62684,0.50882,0.63433,2.4523,0.84515,0.000105266,0.000105266,0.000105266
10,3.98387,0.52824,2.27101,0.81708,0.56777,0.54101,0.71021,0.58987,0.56119,1.95656,0.83563,0.000117151,0.000117151,0.000117151
11,4.47687,0.43126,1.77792,0.86941,0.88329,0.70814,0.8744,0.74866,0.51645,1.87861,0.85023,0.000128753,0.000128753,0.000128753
12,4.9696,0.43992,1.242,0.78574,0.78475,0.80992,0.85162,0.75135,0.44268,2.18579,0.83645,0.000140072,0.000140072,0.000140072
13,5.44204,0.46429,1.16318,0.8211,0.82427,0.85642,0.89108,0.76755,0.4723,1.96008,0.85199,0.000151108,0.000151108,0.000151108
14,5.90889,0.37071,0.95911,0.84208,0.84844,0.95238,0.96088,0.81065,0.53822,1.5902,0.78321,0.000161861,0.000161861,0.000161861
15,6.37782,0.44712,1.13067,0.83357,0.85782,0.95238,0.95717,0.8128,0.55064,1.50008,0.78782,0.000172332,0.000172332,0.000172332
16,6.84338,0.37581,0.90416,0.81185,0.87687,0.95238,0.9311,0.76206,0.53207,1.80148,0.83216,0.000182519,0.000182519,0.000182519
17,7.30342,0.42788,0.93112,0.90444,0.89058,0.94719,0.9361,0.78123,0.50147,1.63482,0.81966,0.000192423,0.000192423,0.000192423
18,7.75537,0.42203,0.95746,0.80975,0.89058,0.94719,0.9361,0.78123,0.50147,1.63482,0.81966,0.000202045,0.000202045,0.000202045
19,8.19765,0.39695,0.86326,0.80148,0.94064,0.923,0.97174,0.81599,0.47939,1.16606,0.82033,0.000211383,0.000211383,0.000211383
20,8.63709,0.39221,0.85298,0.78319,0.94064,0.923,0.97174,0.81599,0.47939,1.16606,0.82033,0.000220439,0.000220439,0.000220439
21,9.10231,0.42619,0.75857,0.84866,0.91405,0.99236,0.98574,0.82485,0.46404,0.93351,0.80535,0.000229212,0.000229212,0.000229212
22,9.56138,0.47112,1.20512,0.87857,0.91405,0.99236,0.98574,0.82485,0.46404,0.93351,0.80535,0.000237701,0.000237701,0.000237701
23,10.0344,0.3837,0.85612,0.88324,0.93958,0.93967,0.9813,0.81451,0.48683,0.85625,0.79933,0.000245908,0.000245908,0.000245908
24,10.4863,0.45423,0.77392,0.8097,0.93958,0.93967,0.9813,0.81451,0.48683,0.85625,0.79933,0.000253832,0.000253832,0.000253832
