,time,yaw,pitch,yaw_velocity,pitch_velocity
0,0.0,0.0,-1.0,-0.0,-0.0
1,0.1,0.0,-1.0,-0.125,0.25
2,0.2,0.0,-1.0,0.0625,-0.0
3,0.3,0.0,-1.0,0.125,-0.0625
4,0.4,0.0,-1.0,0.0625,0.1875
5,0.5,0.0,-1.0,-0.125,0.125
6,0.6,0.0,-1.0,-0.0,-0.0
7,0.7,0.0,-1.0,0.125,0.125
8,0.8,0.0,-1.0,0.0625,0.0625
9,0.9,0.0,-1.0,0.0625,0.0625
10,1.0,0.0,-1.0,-0.125,-0.0
11,1.1,0.0,-1.0,0.0625,0.125
12,1.2,0.0,-1.0,-0.0625,-0.125
13,1.3,0.0,-1.0,0.0625,0.0625
14,1.4,0.0,-1.0,-0.1875,0.125
15,1.5,0.0,-1.0,-0.0,-0.0625
16,1.6,0.0,-1.0,0.125,0.1875
17,1.7,0.0,-1.0,-0.0,-0.25
18,1.8,0.0,-1.0,-0.0625,-0.0
19,1.9,0.0,-1.0,-0.0625,-0.0
20,2.0,0.3125,-1.0,10.4375,-0.8125
21,2.1,1.9375,-1.125,17.0625,0.25
22,2.2,3.8125,-1.25,18.8125,-0.1875
23,2.3,5.9375,-1.4375,20.1875,-0.25
24,2.4,8.0625,-1.5625,19.875,0.0625
25,2.5,10.25,-1.6875,21.0625,0.3125
26,2.6,12.375,-1.8125,21.5,0.75
27,2.7,14.625,-1.9375,21.6875,0.5625
28,2.8,16.8125,-2.0,21.875,0.5
29,2.9,17.875,-2.0625,-1.8125,1.6875
30,3.0,17.75,-2.0625,0.9375,-0.5
31,3.1,17.75,-2.0,0.375,-0.1875
32,3.2,17.75,-2.0,-0.125,0.0625
33,3.3,17.75,-1.9375,-0.0,-0.0
34,3.4,17.75,-1.875,0.1875,-0.25
35,3.5,17.75,-1.875,-0.125,0.125
36,3.6,17.75,-1.8125,-0.0625,-0.0625
37,3.7,17.75,-1.75,-0.1875,0.0625
38,3.8,17.25,-1.75,-11.6875,0.625
39,3.9,15.625,-1.625,-16.5,-0.1875
40,4.0,13.6875,-1.4375,-17.9375,-0.1875
41,4.1,11.6875,-1.25,-19.6875,-0.0
42,4.2,9.6875,-1.125,-19.5,-0.125
43,4.3,7.6875,-0.9375,-19.125,-0.125
44,4.4,5.6875,-0.8125,-19.0,-0.25
45,4.5,3.625,-0.625,-18.9375,-0.25
46,4.6,1.625,-0.5,-18.0,0.0625
47,4.7,0.6875,-0.4375,2.5,-0.75
48,4.8,0.6875,-0.4375,0.375,0.3125
49,4.9,0.6875,-0.375,1.0625,-0.5625
50,5.0,0.6875,-0.375,0.4375,-0.25
51,5.1,0.6875,-0.4375,0.25,-0.5
52,5.2,0.6875,-0.4375,0.1875,-0.0
53,5.3,0.6875,-0.4375,-0.0,-0.125
54,5.4,0.6875,-0.4375,-0.0,0.125
55,5.5,0.6875,-0.5,-0.0625,0.0625
56,5.6,0.6875,-1.125,0.5625,-12.875
57,5.7,0.625,-3.0625,0.25,-19.75
58,5.8,0.5,-5.3125,-0.0,-21.25
59,5.9,0.4375,-7.75,0.25,-22.9375
60,6.0,0.3125,-10.125,0.125,-23.0
61,6.1,0.25,-12.5625,0.5625,-22.5625
62,6.2,0.125,-14.9375,0.375,-22.0625
63,6.3,0.0625,-17.3125,-0.5625,-22.5625
64,6.4,0.0,-19.625,0.5,-21.6875
65,6.5,-0.0625,-20.5,-0.25,0.0625
66,6.6,-0.0625,-20.5,-0.0625,-0.0
67,6.7,-0.0625,-20.5625,-0.1875,0.125
68,6.8,-0.0625,-20.5625,-0.125,0.0625
69,6.9,-0.0625,-20.5625,-0.0,0.0625
70,7.0,-0.0625,-20.5625,-0.125,-0.0625
71,7.1,-0.0625,-20.5625,-0.0,0.0625
72,7.2,-0.0625,-20.5625,0.0625,-0.0
73,7.3,-0.0625,-20.5625,0.0625,-0.0
74,7.4,0.0,-19.9375,-0.3125,14.4375
75,7.5,0.0625,-17.8125,-0.3125,22.0625
76,7.6,0.1875,-15.3125,-0.125,24.6875
77,7.7,0.25,-12.5625,-0.375,26.8125
78,7.8,0.375,-9.75,-0.5,26.8125
79,7.9,0.5,-7.0625,-0.25,25.0
80,8.0,0.625,-4.3125,-0.3125,27.0
81,8.1,0.6875,-1.375,-0.25,25.4375
82,8.2,0.8125,1.1875,-0.125,25.375
83,8.3,0.875,2.4375,-0.8125,1.9375
84,8.4,0.875,2.4375,0.125,0.0625
85,8.5,0.875,2.375,-0.0,0.3125
86,8.6,0.875,2.3125,0.0625,0.0625
87,8.7,0.875,2.3125,0.0625,0.1875
88,8.8,0.875,2.25,-0.0,0.0625
89,8.9,0.875,2.25,0.1875,-0.0
90,9.0,0.875,2.1875,-0.0,-0.0
91,9.1,0.875,2.1875,-0.0625,-0.0625
92,9.2,0.875,2.1875,-0.0625,0.0625
93,9.3,0.875,2.1875,0.0625,-0.0625
94,9.4,0.875,2.1875,0.0625,-0.125
95,9.5,0.875,2.1875,0.0625,-0.0625
96,9.6,0.875,2.1875,0.0625,-0.0625
97,9.7,0.875,2.1875,-0.0625,-0.0
98,9.8,0.875,2.1875,0.0625,-0.125
99,9.9,0.875,2.1875,-0.1875,-0.0625
100,10.0,0.875,2.1875,-0.0625,0.0625
