,time,yaw,pitch,yaw_velocity,pitch_velocity,motor_voltage
0,0.0,-0.125,7.25,-0.125,0.125,1.7999999999999998
1,0.1,-0.125,7.25,-0.0,0.125,1.92
2,0.2,-0.125,7.25,0.0625,-0.0625,1.92
3,0.3,-0.125,7.25,-0.0,0.25,1.92
4,0.4,-0.125,7.25,-0.0,-0.0,1.92
5,0.5,-0.125,7.25,0.125,-0.125,1.92
6,0.6,-0.125,7.25,-0.0,-0.125,1.92
7,0.7,-0.125,7.25,-0.0625,0.125,1.92
8,0.8,-0.125,7.25,0.125,-0.125,1.92
9,0.9,-0.125,7.25,-0.0,-0.3125,1.92
10,1.0,-0.125,7.25,0.0625,-0.125,2.04
11,1.1,-0.125,7.25,-0.0,-0.0,2.04
12,1.2,-0.125,7.25,-0.0,0.125,2.04
13,1.3,-0.0625,7.25,1.25,-0.25,2.04
14,1.4,0.0,7.25,0.375,0.125,2.04
15,1.5,0.0,7.25,-0.1875,-0.125,2.16
16,1.6,0.0,7.25,-0.0625,-0.0625,2.16
17,1.7,0.0,7.25,-0.0625,-0.0625,2.16
18,1.8,0.0,7.25,-0.0,-0.0625,2.16
19,1.9,0.0,7.25,-0.0625,-0.125,2.16
20,2.0,0.0,7.25,-0.0,0.0625,2.16
21,2.1,0.0,7.25,-0.125,0.0625,2.16
22,2.2,0.0,7.25,0.0625,0.0625,2.16
23,2.3,0.0,7.25,-0.0625,-0.25,2.2800000000000002
24,2.4,0.0,7.25,0.125,-0.0625,2.2800000000000002
25,2.5,0.0,7.25,-0.0625,0.0625,2.2800000000000002
26,2.6,0.0,7.25,-0.125,0.125,2.2800000000000002
27,2.7,0.0,7.25,-0.1875,0.125,2.2800000000000002
28,2.8,0.0,7.25,-0.0625,0.125,2.2800000000000002
29,2.9,0.0,7.25,-0.0625,0.125,2.2800000000000002
30,3.0,0.0,7.25,0.0625,0.125,2.4000000000000004
31,3.1,0.125,7.1875,0.125,0.5,2.4000000000000004
32,3.2,0.1875,7.125,3.9375,-0.375,2.4000000000000004
33,3.3,0.625,7.25,6.6875,-1.125,2.4000000000000004
34,3.4,1.25,7.1875,6.125,1.0625,2.4000000000000004
35,3.5,1.75,7.125,4.6875,-0.1875,2.4000000000000004
36,3.6,2.25,7.0625,4.5625,-0.0625,2.4000000000000004
37,3.7,2.875,7.0625,5.0625,-0.25,2.4000000000000004
38,3.8,3.4375,7.0,6.0,-0.0625,2.4000000000000004
39,3.9,4.0625,6.9375,5.4375,0.3125,2.4000000000000004
40,4.0,4.6875,6.9375,5.8125,0.375,2.4000000000000004
41,4.1,5.3125,6.875,5.5625,-0.0,2.4000000000000004
42,4.2,6.0,6.875,5.25,0.0625,2.4000000000000004
43,4.3,6.5625,6.8125,5.3125,-0.0,2.4000000000000004
44,4.4,7.125,6.75,6.1875,0.375,2.4000000000000004
45,4.5,7.75,6.75,4.8125,-0.25,2.4000000000000004
46,4.6,8.0,6.75,0.1875,0.9375,2.4000000000000004
47,4.7,8.0,6.75,-0.0,-0.1875,2.4000000000000004
48,4.8,8.0,6.75,-0.0,-0.0,2.4000000000000004
49,4.9,8.0,6.8125,-0.125,0.1875,2.4000000000000004
50,5.0,8.0,6.8125,-0.125,0.25,2.4000000000000004
51,5.1,8.0,6.8125,-0.0,-0.0,-1.92
52,5.2,8.0,6.8125,0.0625,0.0625,-1.92
53,5.3,8.0,6.8125,-0.125,0.0625,-1.92
54,5.4,8.0,6.8125,-0.0,-0.1875,-1.92
55,5.5,8.0,6.8125,-0.125,-0.0625,-1.92
56,5.6,8.0,6.8125,-0.0,0.125,-1.92
57,5.7,8.0,6.8125,-0.0,0.1875,-1.92
58,5.8,8.0,6.8125,-0.0625,-0.0,-2.04
59,5.9,8.0,6.8125,-0.0,-0.125,-2.04
60,6.0,8.0,6.8125,-0.375,-0.0625,-2.04
61,6.1,7.8125,6.8125,-1.5,-0.3125,-2.04
62,6.2,7.625,6.8125,-0.625,-0.0625,-2.04
63,6.3,7.4375,6.875,-1.875,-0.3125,-2.04
64,6.4,7.3125,6.875,-1.4375,0.3125,-2.04
65,6.5,7.1875,6.875,0.0625,-0.0625,-2.04
66,6.6,7.1875,6.875,-0.0,-0.375,-2.04
67,6.7,7.1875,6.875,-0.0,0.125,-2.04
68,6.8,7.1875,6.875,-0.0,-0.0,-2.04
69,6.9,7.1875,6.875,-0.1875,0.125,-2.04
70,7.0,7.1875,6.875,-0.0625,0.0625,-2.04
71,7.1,7.1875,6.875,0.0625,0.1875,-2.16
72,7.2,7.1875,6.875,0.0625,-0.125,-2.16
73,7.3,7.1875,6.875,-0.0625,-0.0,-2.16
74,7.4,7.1875,6.875,0.0625,0.0625,-2.16
75,7.5,7.1875,6.875,0.0625,-0.0625,-2.2800000000000002
76,7.6,7.1875,6.875,-0.0,-0.125,-2.2800000000000002
77,7.7,7.1875,6.875,-0.0625,-0.0,-2.2800000000000002
78,7.8,7.1875,6.875,-0.0625,0.125,-2.2800000000000002
79,7.9,7.1875,6.875,-0.0625,-0.0625,-2.2800000000000002
80,8.0,7.1875,6.875,-0.0,-0.125,-2.2800000000000002
81,8.1,7.1875,6.875,-0.0,-0.0625,-2.2800000000000002
82,8.2,7.1875,6.875,-0.0,-0.0,-2.2800000000000002
83,8.3,7.1875,6.875,-0.0625,-0.0625,-2.2800000000000002
84,8.4,7.1875,6.875,-0.0,0.125,-2.2800000000000002
85,8.5,7.1875,6.875,0.1875,-0.125,-2.4000000000000004
86,8.6,7.1875,6.875,0.0625,-0.25,-2.4000000000000004
87,8.7,7.1875,6.875,-0.0625,-0.0,-2.4000000000000004
88,8.8,7.1875,6.875,0.125,-0.125,-2.4000000000000004
89,8.9,7.1875,6.875,0.0625,0.0625,-2.4000000000000004
90,9.0,7.1875,6.875,-0.1875,-0.3125,-2.4000000000000004
91,9.1,7.1875,6.875,-0.1875,0.25,-2.4000000000000004
92,9.2,7.1875,6.875,-0.0625,-0.0,-2.4000000000000004
93,9.3,7.1875,6.875,0.0625,-0.0,-2.4000000000000004
94,9.4,7.1875,6.875,-0.0625,-0.0,-2.4000000000000004
95,9.5,7.1875,6.875,-0.0625,-0.0625,-2.4000000000000004
96,9.6,7.1875,6.875,-0.0,-0.0625,-2.4000000000000004
97,9.7,7.1875,6.875,-0.0625,0.1875,-2.4000000000000004
98,9.8,7.1875,6.875,0.0625,-0.0,-2.4000000000000004
99,9.9,7.1875,6.875,-0.0625,-0.125,-2.4000000000000004
100,10.0,7.1875,6.875,-0.0,0.0625,-2.4000000000000004
101,10.1,7.1875,6.875,-0.0625,-0.0,-2.4000000000000004
102,10.2,7.1875,6.875,-0.0625,-0.0625,-2.4000000000000004
103,10.3,7.1875,6.875,-0.0,0.125,-2.4000000000000004
104,10.4,7.1875,6.875,-0.0625,0.125,-2.4000000000000004
105,10.5,7.125,6.875,-2.3125,-0.0625,-2.4000000000000004
106,10.6,7.0625,6.875,0.0625,-0.25,-2.4000000000000004
107,10.7,7.0625,6.875,0.125,-0.125,-2.4000000000000004
108,10.8,6.9375,6.875,-4.25,0.25,-2.4000000000000004
109,10.9,6.25,6.9375,-7.4375,0.0625,-2.4000000000000004
110,11.0,5.3125,7.0625,-9.3125,-0.5,-2.4000000000000004
111,11.1,4.4375,7.125,-6.5625,0.0625,-2.4000000000000004
112,11.2,3.8125,7.1875,-6.5,-0.125,-2.4000000000000004
113,11.3,3.125,7.25,-6.5625,-0.0625,-2.4000000000000004
114,11.4,2.5,7.3125,-5.0625,0.125,-2.4000000000000004
115,11.5,1.875,7.375,-5.25,-0.0,-2.4000000000000004
116,11.6,1.25,7.375,-6.1875,-0.0,-2.4000000000000004
117,11.7,0.5625,7.4375,-6.0625,-0.25,-2.4000000000000004
118,11.8,0.0,7.5,-4.8125,-0.1875,-2.4000000000000004
119,11.9,-0.625,7.5625,-5.625,-0.1875,-2.4000000000000004
120,12.0,-1.25,7.625,-6.75,-0.3125,-2.4000000000000004
121,12.1,-1.9375,7.625,-6.0625,-0.0,-2.4000000000000004
122,12.2,-2.6875,7.6875,-6.1875,-0.0,-2.4000000000000004
123,12.3,-3.375,7.75,-6.0,-0.0,-2.4000000000000004
124,12.4,-4.125,7.8125,-6.0,-0.0,-2.4000000000000004
125,12.5,-4.4375,7.875,-0.5,0.125,-2.4000000000000004
126,12.6,-4.4375,7.875,-0.0625,0.125,-2.4000000000000004
127,12.7,-4.4375,7.875,-0.0,-0.0,-2.4000000000000004
