epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.60183,0.74488,3.94052,0.92976,0.35228,0.30492,0.2671,0.25513,0.44698,3.13219,0.84003,0,0,0
2,1.05126,0.96322,4.00275,0.96663,0.33114,0.30955,0.26645,0.25472,0.44662,3.13008,0.83861,1.42428e-05,1.42428e-05,1.42428e-05
3,1.40397,0.75729,3.79217,0.86921,0.33641,0.31538,0.29766,0.28586,0.45031,3.11091,0.83571,2.83914e-05,2.83914e-05,2.83914e-05
4,1.76805,0.76484,3.92831,0.87033,0.33485,0.29762,0.29783,0.28626,0.45877,3.09767,0.83433,4.24456e-05,4.24456e-05,4.24456e-05
5,2.1127,0.81238,4.29334,0.93352,0.42277,0.332,0.32662,0.31587,0.45528,3.08576,0.83184,5.64055e-05,5.64055e-05,5.64055e-05
6,2.45432,0.72433,3.46363,0.87411,0.50485,0.3397,0.33321,0.32286,0.455,3.09454,0.83424,7.02711e-05,7.02711e-05,7.02711e-05
7,2.78441,0.78888,4.35163,0.89768,0.50984,0.33413,0.33372,0.3233,0.45646,3.09204,0.83721,8.40423e-05,8.40423e-05,8.40423e-05
8,3.16861,0.62356,3.78669,0.87287,0.61804,0.46118,0.50584,0.47591,0.48508,2.47902,0.8285,9.77193e-05,9.77193e-05,9.77193e-05
9,3.67463,0.46167,2.7824,0.835,0.4298,0.51786,0.60657,0.49278,0.6254,2.49843,0.81844,0.000111302,0.000111302,0.000111302
10,4.15117,0.52562,2.25271,0.81677,0.76101,0.45132,0.71515,0.58749,0.54138,1.97522,0.81525,0.00012479,0.00012479,0.00012479
11,4.62338,0.42666,1.75239,0.86836,0.87528,0.66468,0.87898,0.75037,0.52331,1.92529,0.85104,0.000138184,0.000138184,0.000138184
12,5.10211,0.44685,1.26344,0.78468,0.77918,0.80018,0.80762,0.71088,0.44862,2.4698,0.82646,0.000151484,0.000151484,0.000151484
13,5.54956,0.46219,1.18756,0.82081,0.73962,0.8631,0.8454,0.71898,0.52564,2.28943,0.84703,0.000164689,0.000164689,0.000164689
14,6.00568,0.38017,0.96525,0.84236,0.79457,0.89726,0.92923,0.76664,0.57343,1.77937,0.83798,0.0001778,0.0001778,0.0001778
15,6.62205,0.45806,1.14632,0.83512,0.84425,0.95238,0.95219,0.80638,0.5108,1.4698,0.81369,0.000190817,0.000190817,0.000190817
16,7.10711,0.39092,0.8962,0.81314,0.88366,0.94665,0.94537,0.79435,0.51078,1.62903,0.82582,0.00020374,0.00020374,0.00020374
17,7.55104,0.41556,0.90755,0.90285,0.91169,0.94583,0.95951,0.79816,0.49731,1.37075,0.8248,0.000216568,0.000216568,0.000216568
18,7.98222,0.39463,0.92106,0.80722,0.91169,0.94583,0.95951,0.79816,0.49731,1.37075,0.8248,0.000229302,0.000229302,0.000229302
19,8.42321,0.37036,0.83539,0.79059,0.95091,0.95238,0.97546,0.81953,0.50823,1.11063,0.77991,0.000241941,0.000241941,0.000241941
20,8.8862,0.35888,0.81171,0.77361,0.95091,0.95238,0.97546,0.81953,0.50823,1.11063,0.77991,0.000254486,0.000254486,0.000254486
21,9.38575,0.4059,0.7432,0.83707,0.94627,0.96577,0.97648,0.80362,0.47364,0.90376,0.76748,0.000266937,0.000266937,0.000266937
22,9.83857,0.45827,1.09826,0.8366,0.94627,0.96577,0.97648,0.80362,0.47364,0.90376,0.76748,0.000279294,0.000279294,0.000279294
23,10.2793,0.40913,0.84542,0.87165,0.87881,1,0.91591,0.76791,0.48127,1.11122,0.7664,0.000291556,0.000291556,0.000291556
24,10.8092,0.41788,0.74176,0.80452,0.87881,1,0.91591,0.76791,0.48127,1.11122,0.7664,0.000303724,0.000303724,0.000303724
25,11.2478,0.43378,0.89651,0.8211,0.92153,0.99869,0.97204,0.83134,0.53464,0.70126,0.83845,0.000315798,0.000315798,0.000315798
26,11.6994,0.42126,0.67503,0.80802,0.92153,0.99869,0.97204,0.83134,0.53464,0.70126,0.83845,0.000327777,0.000327777,0.000327777
27,12.1861,0.39405,0.77577,0.83157,0.91519,0.96273,0.97204,0.85865,0.39117,0.69613,0.80897,0.000339662,0.000339662,0.000339662
28,12.6671,0.37186,0.68015,0.82575,0.91519,0.96273,0.97204,0.85865,0.39117,0.69613,0.80897,0.000351453,0.000351453,0.000351453
29,13.1382,0.31631,0.74026,0.80166,0.89492,0.96341,0.97648,0.88433,0.39727,0.68694,0.81724,0.000363149,0.000363149,0.000363149
30,13.5918,0.46334,0.72618,0.81604,0.89492,0.96341,0.97648,0.88433,0.39727,0.68694,0.81724,0.000374751,0.000374751,0.000374751
31,14.0632,0.43617,0.6286,0.82244,0.88954,0.96424,0.97648,0.82619,0.48962,0.6796,0.82974,0.000386259,0.000386259,0.000386259
32,14.4863,0.49164,0.74515,0.90731,0.88954,0.96424,0.97648,0.82619,0.48962,0.6796,0.82974,0.000397672,0.000397672,0.000397672
33,14.9294,0.43112,0.69714,0.80871,0.87307,1,0.97648,0.8289,0.49203,0.59819,0.82337,0.000408991,0.000408991,0.000408991
34,15.4822,0.40915,0.54084,0.79335,0.87307,1,0.97648,0.8289,0.49203,0.59819,0.82337,0.000420216,0.000420216,0.000420216
35,15.9477,0.43185,0.62593,0.82537,0.84439,0.98662,0.9813,0.88214,0.42617,0.55481,0.80855,0.000431347,0.000431347,0.000431347
36,16.3747,0.39234,0.60462,0.8315,0.84439,0.98662,0.9813,0.88214,0.42617,0.55481,0.80855,0.000442383,0.000442383,0.000442383
37,16.8104,0.34862,0.57077,0.80941,0.82281,0.92992,0.99056,0.87812,0.40326,0.65158,0.80936,0.000453325,0.000453325,0.000453325
38,17.2338,0.42497,0.58478,0.8285,0.82281,0.92992,0.99056,0.87812,0.40326,0.65158,0.80936,0.000464172,0.000464172,0.000464172
39,17.6698,0.41968,0.57552,0.86642,0.76262,0.9696,0.995,0.87465,0.44961,0.65627,0.82978,0.000474925,0.000474925,0.000474925
40,18.1002,0.46332,0.6079,0.84995,0.76262,0.9696,0.995,0.87465,0.44961,0.65627,0.82978,0.000485584,0.000485584,0.000485584
41,18.5637,0.42185,0.5498,0.81182,0.7043,0.95833,0.99056,0.87317,0.48837,0.74263,0.83231,0.000496149,0.000496149,0.000496149
42,18.99,0.43593,0.64106,0.84075,0.7043,0.95833,0.99056,0.87317,0.48837,0.74263,0.83231,0.000506619,0.000506619,0.000506619
43,19.4241,0.49164,0.70484,0.85587,0.6889,0.94033,0.97633,0.84313,0.48057,0.75788,0.8197,0.000516995,0.000516995,0.000516995
44,19.8416,0.38997,0.50565,0.78978,0.6889,0.94033,0.97633,0.84313,0.48057,0.75788,0.8197,0.000527277,0.000527277,0.000527277
45,20.3628,0.4283,0.52645,0.81566,0.88096,0.75189,0.995,0.8717,0.45583,0.7329,0.82344,0.000537464,0.000537464,0.000537464
46,20.7794,0.40766,0.53026,0.8319,0.88096,0.75189,0.995,0.8717,0.45583,0.7329,0.82344,0.000547557,0.000547557,0.000547557
47,21.2308,0.40375,0.56784,0.83494,0.85805,0.72322,0.987,0.82742,0.47888,0.95133,0.8267,0.000557556,0.000557556,0.000557556
48,21.6744,0.39489,0.50271,0.78169,0.85805,0.72322,0.987,0.82742,0.47888,0.95133,0.8267,0.00056746,0.00056746,0.00056746
49,22.1076,0.37415,0.50009,0.82837,0.67058,0.86832,0.9813,0.82285,0.48409,0.98002,0.82666,0.00057727,0.00057727,0.00057727
50,22.5226,0.5271,0.63489,0.88,0.67058,0.86832,0.9813,0.82285,0.48409,0.98002,0.82666,0.000586986,0.000586986,0.000586986
51,22.951,0.45324,0.59049,0.86487,0.66372,0.96125,0.995,0.85535,0.47599,1.05884,0.83876,0.000596608,0.000596608,0.000596608
52,23.3543,0.37391,0.4569,0.8091,0.66372,0.96125,0.995,0.85535,0.47599,1.05884,0.83876,0.000606135,0.000606135,0.000606135
53,23.7694,0.42164,0.51009,0.81665,0.66372,0.96125,0.995,0.85535,0.47599,1.05884,0.83876,0.000615567,0.000615567,0.000615567
54,24.2186,0.4825,0.48904,0.87053,0.80407,0.83881,0.9813,0.83485,0.4871,0.7888,0.84414,0.000624906,0.000624906,0.000624906
55,24.6663,0.45977,0.4664,0.82439,0.80407,0.83881,0.9813,0.83485,0.4871,0.7888,0.84414,0.00063415,0.00063415,0.00063415
56,25.1854,0.40911,0.45078,0.84383,0.80407,0.83881,0.9813,0.83485,0.4871,0.7888,0.84414,0.0006433,0.0006433,0.0006433
57,25.617,0.3796,0.42932,0.82487,0.85479,0.80012,0.97367,0.83185,0.48428,0.59685,0.82151,0.000652356,0.000652356,0.000652356
58,26.0308,0.38505,0.47439,0.84748,0.85479,0.80012,0.97367,0.83185,0.48428,0.59685,0.82151,0.000661317,0.000661317,0.000661317
59,26.4447,0.36186,0.42999,0.80591,0.85479,0.80012,0.97367,0.83185,0.48428,0.59685,0.82151,0.000670184,0.000670184,0.000670184
60,26.873,0.3986,0.54388,0.85091,0.95647,0.875,0.9813,0.89203,0.47083,0.51493,0.82217,0.000678956,0.000678956,0.000678956
61,27.3418,0.39572,0.44137,0.81969,0.95647,0.875,0.9813,0.89203,0.47083,0.51493,0.82217,0.000687635,0.000687635,0.000687635
62,27.8159,0.39841,0.41413,0.81413,0.95647,0.875,0.9813,0.89203,0.47083,0.51493,0.82217,0.000696219,0.000696219,0.000696219
