epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.934813,0.26787,0.46735,0.81906,0.98828,1,0.995,0.97486,0.25741,0.24104,0.80488,2.858e-05,2.858e-05,2.858e-05
2,1.67284,0.27691,0.64067,0.82625,0.98842,1,0.995,0.95909,0.2752,0.24702,0.80391,7.12142e-05,7.12142e-05,7.12142e-05
3,2.49764,0.28082,0.43257,0.81552,0.97984,1,0.995,0.94887,0.27419,0.2656,0.79998,0.000113565,0.000113565,0.000113565
4,3.28182,0.29527,0.4956,0.8351,0.98035,1,0.995,0.94294,0.27631,0.28769,0.80903,0.000155634,0.000155634,0.000155634
5,4.06701,0.28588,0.4267,0.81729,0.98406,1,0.995,0.93106,0.32213,0.29743,0.8114,0.000197419,0.000197419,0.000197419
6,4.89813,0.35361,0.56511,0.85602,0.98177,1,0.995,0.90657,0.32016,0.27755,0.80189,0.000238922,0.000238922,0.000238922
7,5.68244,0.39746,0.63995,0.87357,0.96156,1,0.995,0.92308,0.34951,0.36909,0.80515,0.000280141,0.000280141,0.000280141
8,6.44291,0.31479,0.48395,0.81772,0.96335,1,0.995,0.91544,0.33127,0.36957,0.80354,0.000321078,0.000321078,0.000321078
9,7.21299,0.29006,0.47063,0.81681,0.98331,0.99446,0.995,0.91504,0.3282,0.35039,0.81036,0.000361731,0.000361731,0.000361731
10,8.03637,0.33339,0.53197,0.84793,0.97871,0.9955,0.995,0.93606,0.32687,0.34662,0.80681,0.000402102,0.000402102,0.000402102
11,8.92342,0.31441,0.45485,0.83111,0.98223,0.99104,0.995,0.89135,0.35946,0.35127,0.80517,0.00044219,0.00044219,0.00044219
12,9.685,0.31091,0.39911,0.81741,0.92156,0.99688,0.995,0.89287,0.38026,0.37711,0.79565,0.000481995,0.000481995,0.000481995
13,10.4872,0.33267,0.42841,0.86026,0.95165,1,0.995,0.92731,0.33986,0.3299,0.78903,0.000521516,0.000521516,0.000521516
14,11.2998,0.30159,0.40399,0.83836,0.95788,0.99216,0.995,0.89727,0.39642,0.3734,0.7991,0.000560755,0.000560755,0.000560755
15,12.0728,0.30547,0.37808,0.82243,0.97739,0.9553,0.995,0.90762,0.36029,0.42,0.80283,0.000599711,0.000599711,0.000599711
16,12.8307,0.34835,0.45033,0.82612,0.9758,0.95675,0.995,0.87584,0.41657,0.40903,0.80173,0.000638384,0.000638384,0.000638384
17,13.6442,0.32741,0.44344,0.8515,0.80209,0.90135,0.90781,0.79754,0.42798,1.58124,0.82037,0.000676774,0.000676774,0.000676774
18,14.4482,0.35325,0.48407,0.86515,0.80209,0.90172,0.85392,0.77331,0.38899,1.79814,0.82496,0.000714882,0.000714882,0.000714882
19,15.2093,0.37148,0.44557,0.83953,0.80283,0.83721,0.85217,0.7521,0.41982,1.96181,0.82322,0.000752706,0.000752706,0.000752706
20,15.9711,0.35578,0.41901,0.83345,0.67464,0.83643,0.60898,0.51176,0.48618,4.03051,0.83122,0.000790247,0.000790247,0.000790247
21,16.7872,0.35812,0.41593,0.84524,0.73898,0.79619,0.80932,0.68921,0.47326,1.939,0.83792,0.000827505,0.000827505,0.000827505
22,17.5693,0.34808,0.41284,0.83206,0.69986,0.77859,0.83132,0.71892,0.46296,1.14674,0.85681,0.000864481,0.000864481,0.000864481
23,18.4516,0.35865,0.36731,0.85004,0.88412,0.81355,0.85766,0.73514,0.50499,0.76245,0.87219,0.000901173,0.000901173,0.000901173
24,19.2114,0.34546,0.35324,0.83794,0.92015,0.79808,0.893,0.75808,0.49667,0.72062,0.85419,0.000937583,0.000937583,0.000937583
25,20.0381,0.40069,0.42725,0.88212,0.99036,0.91667,0.94978,0.87133,0.42439,0.405,0.81895,0.000973709,0.000973709,0.000973709
26,20.8002,0.37486,0.37593,0.86133,0.9888,0.96824,0.995,0.88722,0.47207,0.36838,0.81932,0.00100955,0.00100955,0.00100955
27,21.5601,0.37268,0.36602,0.84524,0.98836,0.97652,0.995,0.90302,0.41051,0.35087,0.82543,0.00104511,0.00104511,0.00104511
28,22.3351,0.36646,0.4219,0.85973,0.95433,1,0.995,0.9156,0.42122,0.34335,0.83395,0.00108039,0.00108039,0.00108039
29,23.1505,0.39912,0.37611,0.86894,0.95433,1,0.995,0.9156,0.42122,0.34335,0.83395,0.00111539,0.00111539,0.00111539
30,23.9157,0.36473,0.42172,0.82833,0.96691,1,0.995,0.91708,0.40916,0.34754,0.82989,0.0011501,0.0011501,0.0011501
31,24.6793,0.37523,0.47776,0.85333,0.96333,0.77566,0.92865,0.8236,0.44995,0.54128,0.85827,0.00118453,0.00118453,0.00118453
32,25.4698,0.3939,0.42857,0.82123,0.97584,0.68452,0.79531,0.7168,0.49281,0.84746,0.89443,0.00121867,0.00121867,0.00121867
33,26.2753,0.42694,0.43667,0.89859,0.97584,0.68452,0.79531,0.7168,0.49281,0.84746,0.89443,0.00125254,0.00125254,0.00125254
34,27.1399,0.39369,0.42604,0.85375,0.97184,0.781,0.945,0.83335,0.47053,0.66407,0.85204,0.00127338,0.00127338,0.00127338
35,27.9041,0.37888,0.41882,0.8433,0.87858,0.94489,0.987,0.85619,0.48717,0.50374,0.86433,0.00126867,0.00126867,0.00126867
36,28.7231,0.38185,0.39822,0.87832,0.87745,0.9974,0.99056,0.82788,0.51872,0.52564,0.85068,0.00126395,0.00126395,0.00126395
37,29.5048,0.40272,0.40992,0.85528,0.87745,0.9974,0.99056,0.82788,0.51872,0.52564,0.85068,0.00125923,0.00125923,0.00125923
