,time,yaw,pitch,yaw_velocity,pitch_velocity,yaw_duty_cycle,pitch_duty_cycle
0,0.0,-0.0625,1.25,0.0625,-0.25,0.0,0.0
1,0.1,-0.0625,1.25,-0.1875,0.3125,0.0,0.0
2,0.2,-0.0625,1.25,0.0625,-0.0,0.0,0.0
3,0.3,-0.0625,1.25,-0.0625,0.0625,0.0,0.0
4,0.4,-0.0625,1.25,-0.125,-0.25,0.0,0.0
5,0.5,-0.0625,1.25,-0.125,0.375,0.0,0.0
6,0.6,-0.0625,1.25,-0.0625,0.125,0.0,0.0
7,0.7,2.9375,3.875,51.0,47.3125,1.0,1.0
8,0.8,9.3125,9.625,50.625,49.875,1.0,1.0
9,0.9,15.75,15.375,50.1875,55.125,1.0,1.0
10,1.0,21.625,20.75,48.6875,52.8125,1.0,1.0
11,1.1,27.9375,26.4375,46.5,49.6875,1.0,0.7265625
12,1.2,34.25,31.0,45.125,31.3125,1.0,0.1032813
13,1.3,40.4375,30.875,44.4375,-24.8125,1.0,-0.4907812
14,1.4,46.0,26.625,46.8125,-45.6875,1.0,-0.6515104
15,1.5,52.125,21.375,49.9375,-39.4375,1.0,-0.3668229
16,1.6,58.1875,18.375,48.25,-14.5625,0.9871094,0.09432295
17,1.7,63.625,19.1875,31.0625,22.125,0.1156248,0.3950521
18,1.8,63.375,22.25,-32.0,27.4375,-0.7726564,0.3334375
19,1.9,58.25,25.0625,-47.5625,12.125,-1.0,0.01541666
20,2.0,52.25,25.3125,-43.5625,-13.0625,-0.8421878,-0.3225521
21,2.1,47.0,23.0625,-37.0,-32.3125,-0.4208335,-0.4295833
22,2.2,43.125,19.8125,-19.4375,-29.8125,0.002083159,-0.2718229
23,2.3,42.625,17.3125,9.4375,-10.3125,0.3440103,0.03072917
24,2.4,44.8125,17.25,22.75,12.8125,0.3557291,0.3024479
25,2.5,47.25,19.4375,10.0,25.125,0.06679679,0.3517188
26,2.6,47.25,21.9375,-9.3125,16.25,-0.2826824,0.1601042
27,2.7,45.375,23.0625,-19.875,-0.0625,-0.3884116,-0.1014063
28,2.8,42.5625,23.125,-20.5625,-7.375,-0.279297,-0.2530209
29,2.9,40.5,21.8125,-7.3125,-18.6875,-0.03541677,-0.3082292
30,3.0,40.25,19.5625,-0.375,-17.4375,0.1635416,-0.2166146
31,3.1,40.1875,18.1875,-0.0625,-3.9375,0.0,-0.003437497
32,3.2,40.25,18.1875,-0.0,0.125,0.0,0.1529688
33,3.3,40.25,18.3125,-0.0625,3.375,0.0,0.1816667
34,3.4,40.25,18.8125,0.1875,6.125,0.0,0.1969271
35,3.5,40.3125,19.625,0.125,6.375,0.0,0.1698958
36,3.6,40.3125,19.9375,-0.0,-0.125,0.0,0.1013542
37,3.7,40.3125,19.9375,-0.0625,0.0625,0.0,0.0
38,3.8,40.3125,20.0,-0.0625,0.125,0.0,0.0
39,3.9,40.3125,20.0,-0.0,0.125,0.0,0.0
40,4.0,40.3125,20.0,-0.0,0.1875,0.0,0.0
41,4.1,40.3125,20.0,-0.0,0.0625,0.0,0.0
42,4.2,40.3125,20.0625,0.0625,0.125,0.0,0.0
43,4.3,40.3125,20.0625,0.125,0.125,0.0,0.0
44,4.4,40.3125,20.0625,-0.0,0.1875,0.0,0.0
45,4.5,40.3125,20.0625,-0.0,0.0625,0.0,0.0
46,4.6,40.3125,20.0625,-0.0625,0.125,0.0,0.0
47,4.7,40.3125,20.125,-0.0625,0.0625,0.0,0.0
48,4.8,40.3125,20.125,-0.125,0.125,0.0,0.0
49,4.9,40.3125,20.125,-0.125,0.0625,0.0,0.0
