,time,yaw,pitch,yaw_velocity,pitch_velocity,duty_cycle
0,0.0,-0.0625,-14.1875,-0.0,0.125,0.15
1,0.1,0.0,-14.1875,0.5,-0.3125,0.15
2,0.2,0.0,-14.1875,-0.0,-0.0625,0.15
3,0.3,0.0,-14.1875,-0.0,-0.0625,0.15
4,0.4,0.0,-14.1875,0.0625,-0.0,0.15
5,0.5,0.0,-14.1875,-0.125,-0.125,0.16
6,0.6,0.0,-14.1875,0.0625,0.1875,0.16
7,0.7,0.0,-14.1875,0.125,-0.125,0.16
8,0.8,0.0,-14.1875,-0.0,0.125,0.16
9,0.9,0.0,-14.1875,0.125,0.1875,0.16
10,1.0,0.0,-14.1875,-0.0625,-0.0625,0.16
11,1.1,0.0,-14.1875,0.0625,-0.0625,0.16
12,1.2,0.0,-14.1875,-0.25,0.125,0.16
13,1.3,0.0,-14.1875,-0.0,-0.125,0.17
14,1.4,0.0,-14.1875,-0.125,-0.0,0.17
15,1.5,0.0,-14.1875,-0.0,0.1875,0.17
16,1.6,0.0,-14.1875,-0.0,-0.125,0.17
17,1.7,0.0,-14.1875,-0.0625,-0.1875,0.17
18,1.8,0.0,-14.1875,-0.125,-0.0,0.17
19,1.9,0.0,-14.1875,0.0625,-0.0625,0.17
20,2.0,0.0,-14.1875,-0.0625,0.0625,0.18
21,2.1,0.0,-14.1875,-0.0,0.0625,0.18
22,2.2,0.0,-14.1875,-0.0,-0.0625,0.18
23,2.3,0.0,-14.1875,0.0625,0.125,0.18
24,2.4,0.0,-14.1875,-0.0,0.1875,0.18
25,2.5,0.0,-14.1875,0.125,0.125,0.18
26,2.6,0.0,-14.1875,-0.0625,-0.1875,0.19
27,2.7,0.0,-14.1875,-0.0,0.125,0.19
28,2.8,0.0,-14.1875,0.0625,-0.0625,0.19
29,2.9,0.0,-14.1875,-0.125,-0.0625,0.19
30,3.0,0.0,-14.1875,-0.0,-0.0625,0.19
31,3.1,0.0,-14.1875,-0.0,-0.0625,0.19
32,3.2,0.0,-14.1875,0.125,-0.1875,0.2
33,3.3,0.0,-14.1875,0.0625,-0.0,0.2
34,3.4,0.0,-14.1875,-0.125,-0.0,0.2
35,3.5,0.0,-14.1875,-0.0,0.125,0.2
36,3.6,0.0,-14.1875,-0.0625,0.125,0.2
37,3.7,0.0,-14.1875,-0.125,0.0625,0.2
38,3.8,0.0,-14.1875,0.0625,-0.0,0.2
39,3.9,0.0,-14.1875,0.0625,0.0625,0.2
40,4.0,0.1875,-14.1875,2.0625,0.0625,0.2
